sampling_date,site_name,site_code,transect,meter,burn_history,latitude,longitude,species,plot_size,mass,notes ,,,
2016-08-09,Hess Creek Burned,HCB,1,30,Burned,65.568988,-148.92398,EQUIS,0.0625,0.498,NA,,,
2016-08-09,Hess Creek Burned,HCB,1,30,Burned,65.568988,-148.92398,GRAM,0.25,0.7,NA,,,
2016-08-09,Hess Creek Burned,HCB,1,30,Burned,65.568988,-148.92398,LICH,0.0625,0.44,NA,,,
2016-08-09,Hess Creek Burned,HCB,1,30,Burned,65.568988,-148.92398,MOSS,0.0625,1.667,NA,,,
2016-08-09,Hess Creek Burned,HCB,1,30,Burned,65.568988,-148.92398,RHSU,0.25,9.6,NA,,,
2016-08-09,Hess Creek Burned,HCB,1,30,Burned,65.568988,-148.92398,SASP,0.25,4.385,NA,,,
2016-08-09,Hess Creek Burned,HCB,1,30,Burned,65.568988,-148.92398,SASP,0.25,0.285,NA,,,
2016-08-09,Hess Creek Burned,HCB,1,30,Burned,65.568988,-148.92398,VAUL,0.25,0.041,NA,,,
2016-08-09,Hess Creek Burned,HCB,1,30,Burned,65.568988,-148.92398,VAVI,0.25,1.6,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,EQUIS,0.25,0.152,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,EQUIS,0.25,0.634,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,GRAM,0.25,0.049,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,GRAM,0.25,3.655,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,MOSS,0.0625,5.814,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,RHSU,0.25,1.134,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,RHSU,0.25,56.731,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,ROAC,0.25,0.296,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,RUCH,0.25,0.2,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,Freckle pelt,0.0625,3.809,Questionable masses for all freckle pelt samples - difficult to remove debris. ,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,VAUL,0.25,0.027,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,VAUL,0.25,3.396,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,VAVI,0.25,0.042,NA,,,
2016-08-09,Hess Creek Burned,HCB,2,30,Burned,65.5689,-148.923787,VAVI,0.25,1.452,NA,,,
2016-08-09,Hess Creek Burned,HCB,3,30,Burned,65.568907,-148.923177,EQUIS,0.25,4.092,NA,,,
2016-08-09,Hess Creek Burned,HCB,3,30,Burned,65.568907,-148.923177,GRAM,0.25,0.39,NA,,,
2016-08-09,Hess Creek Burned,HCB,3,30,Burned,65.568907,-148.923177,LICH,0.0625,2.519,NA,,,
