year, NPP, NPP_canopy_effect, RH, RH_canopy_effect, NEP,NEP_canopy_effect
1986, 712.54, 685.804, 784.75, 757.913, -72.2108, -72.1069
1987, 804.623, 781.206, 802.676, 774.222, 1.97903, 7.00663
1988, 895.059, 865.716, 766.188, 739.978, 128.888, 125.746
1989, 788.538, 763.494, 744.804, 719.531, 43.7256, 43.9554
1990, 765.699, 734.726, 739.649, 713.201, 26.0491, 21.5274
1991, 726.621, 699.818, 762.197, 733.897, -35.5935, -34.0817
1992, 583.721, 554.816, 719.829, 697.629, -136.116, -142.796
1993, 745.146, 717.378, 749.486, 726.311, -4.3415, -8.96258
1994, 740.891, 722.661, 748.202, 722.69, -7.3252, -0.0191824
1995, 874.534, 846.892, 752.234, 726.442, 122.302, 120.471
1996, 657.144, 640.826, 714.778, 692.71, -57.6181, -51.903
1997, 577.87, 559.093, 739.21, 717.556, -161.34, -158.459
1998, 847.426, 821.065, 798.912, 770.49, 48.5123, 50.5641
1999, 777.947, 744.766, 771.618, 744.732, 6.31864, 0.0466529
2000, 777.585, 749.271, 745.058, 722.756, 32.5388, 26.5143
2001, 701.164, 672.741, 770.429, 744.969, -69.2686, -72.2268
2002, 585.541, 574.349, 724.812, 702.101, -139.288, -127.741
2003, 802.508, 770.408, 755.233, 729.623, 47.2966, 40.774
2004, 783.537, 758.257, 731.855, 708.889, 51.6993, 49.3679
2005, 750.855, 731.369, 780.019, 753.162, -29.1781, -21.7494
2006, 840.999, 802.741, 796.502, 767.144, 44.4843, 35.5971
2007, 820.871, 796.021, 753.969, 729.15, 66.8831, 66.8949
2008, 760.829, 740.537, 736.968, 713.372, 23.8554, 27.1583
2009, 662.944, 636.778, 730.608, 708.379, -67.6468, -71.6123
2010, 875.933, 838.226, 797.668, 770.057, 78.2564, 68.1917
2011, 760.247, 734.883, 753.344, 728.3, 6.92146, 6.59027
2012, 867.69, 839.614, 774.977, 746.433, 92.7029, 93.1759
2013, 710.443, 682.417, 743.962, 718.286, -33.4828, -35.8669
2014, 767.724, 742.685, 725.459, 701.87, 42.2774, 40.8145
2015, 670.878, 643.211, 756.441, 730.609, -85.5519, -87.3933
2016, 878.387, 853.229, 779.436, 754.423, 98.952, 98.8053
2017, 842.733, 818.859, 757.562, 731.868, 85.179, 86.9725
2018, 594.119, 566.319, 717.697, 694.355, -123.58, -128.03
2019, 759.988, 732.835, 732.992, 710.025, 26.9824, 22.7779
2020, 723.125, 707.037, 719.257, 698.252, 3.88393, 8.80589
