year, NPP, NPP_canopy_effect, RH, RH_canopy_effect, NEP,NEP_canopy_effect
1986, 712.707, 685.723, 784.837, 757.967, -72.1319, -72.2437
1987, 806.154, 783.078, 802.886, 774.503, 3.30393, 8.59825
1988, 900.711, 871.039, 766.731, 740.507, 133.995, 130.532
1989, 806.705, 781.021, 746.474, 721.163, 60.2192, 59.855
1990, 777.558, 746.542, 742.54, 715.942, 35.0152, 30.6084
1991, 742.94, 715.845, 764.862, 736.35, -21.942, -20.5055
1992, 595.599, 566.802, 722.586, 700.154, -126.997, -133.332
1993, 763.656, 735.186, 752.48, 729.054, 11.1693, 6.10406
1994, 767.948, 749.534, 752.46, 726.589, 15.4756, 22.9472
1995, 915.123, 886.221, 758.49, 732.266, 156.631, 153.98
1996, 687.212, 670.045, 721.554, 698.995, -34.328, -28.9747
1997, 601.931, 582.908, 745.876, 723.683, -143.946, -140.775
1998, 894.237, 866.284, 807.264, 778.082, 86.9738, 88.1938
1999, 819.476, 784.856, 780.953, 753.277, 38.5179, 31.5854
2000, 816.934, 787.635, 754.22, 731.2, 62.7213, 56.4383
2001, 738.708, 709.208, 780.269, 754.011, -41.5733, -44.8064
2002, 616.937, 605.834, 735.069, 711.636, -118.151, -105.797
2003, 851.633, 817.922, 767.248, 740.726, 84.4132, 77.1879
2004, 836.971, 810.307, 743.995, 720.087, 92.9902, 90.2233
2005, 797.644, 778.779, 794.818, 766.868, 2.81635, 11.9581
2006, 905.358, 865.546, 812.392, 781.755, 92.9509, 83.7913
2007, 876.767, 850.998, 769.44, 743.448, 107.305, 107.574
2008, 817.124, 794.79, 753.204, 728.367, 63.9182, 66.4144
2009, 710.843, 683.979, 747.535, 724.11, -36.6875, -40.1443
2010, 943.801, 904.652, 817.417, 788.346, 126.381, 116.328
2011, 828.788, 801.747, 773.604, 747.183, 55.1981, 54.5704
2012, 941.392, 911.482, 796.271, 766.255, 145.109, 145.218
2013, 771.505, 741.992, 766.167, 738.922, 5.37844, 3.07252
2014, 836.594, 809.582, 748.759, 723.712, 87.8433, 85.8742
2015, 738.752, 710.349, 782.014, 754.465, -43.2446, -44.1104
2016, 964.489, 939.066, 806.936, 780.238, 157.563, 158.828
2017, 935.88, 910.086, 785.162, 757.525, 150.732, 152.547
2018, 650.975, 621.993, 745.152, 720.079, -94.1813, -98.082
2019, 839.734, 812.173, 761.942, 737.116, 77.7892, 75.0181
2020, 794.009, 777.841, 748.393, 725.705, 45.6343, 52.1566
